subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,44,37-68,40-65;46-68;28-70;42-68;38-65;42-61,28-70,6.48,83,-8,752.7709422,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,45,28-70,28-67;22-62;28-66;29-62;21-65;22-70,29-62,5.69,89,6,762.5372342000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,46,29-62,25-61;36-64;35-60;32-66;23-62;33-61,35-60,4.95,94,5,771.5591927999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,47,35-60,30-67;43-55;28-66;34-69;38-51;41-54,34-69,2.76,88,-6,778.3948204,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,48,34-69,27-62;32-62;41-70;27-67;38-61;36-65,32-62,3.45,91,3,785.9189896,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,49,32-62,33-66;33-61;35-67;25-61;32-70;27-60,32-70,2.94,86,-5,792.9393805,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,50,32-70,39-69;33-68;37-67;31-68;32-62;26-63,32-62,3.32,91,5,800.3174991000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,51,32-62,29-63;32-65;39-59;32-57;23-65;38-70,32-65,3.77,90,-1,808.1647249,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,52,32-65,32-60;29-67;34-70;23-63;35-63;34-60,35-63,1.71,93,3,813.9543282000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,53,35-63,28-63;27-64;29-64;35-65;41-64;41-69,29-64,2.1,88,-5,820.1298584,1
