subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,13,selected,16-28,16-22;22-23;13-35;15-35;14-27;13-21,13-35,3.65,68,1,825.916462901
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,14,selected,13-35,11-34;14-29;15-37;11-28;6-33;11-37,11-37,3.54,66,-2,833.024989941
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,15,selected,11-37,13-30;5-32;14-43;17-34;7-43;10-44,5-32,5.99,53,-13,842.591040227
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,16,selected,5-32,6-32;2-31;4-34;2-30;11-29;6-37,6-37,4.91,57,4,851.071377425
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,17,selected,6-37,5-32;11-41;0-37;7-37;10-39;8-36,8-36,5.68,60,3,860.320312718
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,18,selected,8-36,10-33;8-31;8-39;10-29;15-36;7-32,15-36,3.26,71,11,867.149857063
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,19,selected,15-36,18-29;18-30;15-36;17-31;14-42;13-43,13-43,4.55,71,0,875.274152179
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,20,selected,13-43,8-49;19-45;15-36;16-41;21-43;16-40,16-40,2.58,74,3,881.435221442
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,21,selected,16-40,13-44;9-38;20-39;19-42;13-36;17-44,17-44,6.16,77,3,891.176168986
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,22,selected,17-44,14-41;16-43;22-49;23-49;18-37;17-51,17-51,5.08,78,1,899.837475277
