subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,78,40-35,34-31;42-26;44-30;36-42;34-43;44-37,44-30,1.9,92,-2,1429.227752,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,79,44-30,45-37;40-25;50-24;50-37;46-33;45-27,45-37,4.78,97,5,1438.081413,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,0,0-0,1-8;4-3;7-4;0-10;3-3;7-6,4-Jul,8.05,21,20,1556.925484,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,1,4-Jul,6-10;8-3;13-5;5-11;8-7;7-7,7-Aug,6.7,28,7,1567.71236,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,2,7-Aug,10-8;4-13;16-12;15-14;1-4;0-5,0-5,2.75,10,-18,1574.524168,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,3,0-5,3-0;9-3;6-2;2-4;6-4;3-7,4-Jun,7.81,19,9,1586.411395,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,4,4-Jun,7-5;13-3;5-9;4-1;8-13;13-9,13-3,6.03,29,10,1596.522561,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,5,13-3,6-2;23-3;11-7;12-6;14-0;5-4,4-May,4.1,18,-11,1604.695837,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,6,4-May,4-1;0-2;1-5;11-0;1-10;11-5,1-Apr,5.11,10,-8,1613.866934,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,7,1-Apr,3-7;7-7;7-2;9-8;1-0;4-1,2-Jul,5.85,17,7,1623.796852,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,8,2-Jul,3-4;11-2;1-2;1-1;10-6;1-0,6-Oct,3.19,30,13,1631.064935,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,9,6-Oct,5-14;5-11;16-7;7-0;3-8;5-13,16-7,4.58,40,10,1639.71716,1
