subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,65,54-51,53-55;54-60;58-43;58-57;46-57;54-56,58-43,3.72,98,-2,1061.8664880000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,66,58-43,65-43;59-41;49-46;52-35;66-39;59-48,52-35,8.52,96,-2,1074.472329,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,67,52-35,56-43;47-29;60-33;51-39;43-39;55-29,47-29,11.75,92,-4,1090.282391,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,68,47-29,45-20;53-30;40-25;44-29;38-33;53-22,53-30,9.47,92,0,1103.820068,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,69,53-30,47-26;58-23;61-35;51-27;55-31;56-25,55-31,11.87,93,1,1119.769056,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,70,55-31,54-22;47-26;58-36;51-40;56-34;48-33,58-36,1.02,95,2,1124.867565,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,71,58-36,49-38;57-39;59-33;61-45;58-32;61-39,61-45,1.76,98,3,1130.69568,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,72,61-45,67-52;58-36;67-38;66-49;55-53;61-52,55-53,6.43,100,2,1141.200175,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,73,55-53,48-50;60-59;48-56;57-47;48-54;50-46,48-56,9.87,100,0,1155.1413890000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,74,48-56,42-51;48-46;42-52;52-63;42-50;56-59,52-63,1.94,97,-3,1161.1346740000001,1
