subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,63,53-66,58-69;44-66;45-67;59-66;59-65;56-63,59-66,7.51,94,-1,707.9314388,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,64,59-66,52-66;50-66;67-67;60-57;61-66;52-61,50-66,2.71,95,1,714.7204138,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,65,50-66,48-58;44-62;46-65;43-63;51-57;59-68,46-65,4.43,96,1,723.2312654,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,66,46-65,54-67;52-69;41-62;48-68;48-65;49-67,48-65,3.51,96,0,730.8206033,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,67,48-65,52-57;43-63;53-68;54-58;40-65;43-57,40-65,1.71,94,-2,736.6017248,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,68,40-65,48-61;31-61;41-58;46-70;35-67;31-62,46-70,2.83,92,-2,743.4912588,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,69,46-70,50-65;42-70;41-63;37-66;40-63;42-66,42-66,1.54,94,2,749.0860213,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,70,42-66,48-68;40-63;38-63;34-69;50-63;49-63,34-69,5.06,88,-6,758.2053488,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,71,34-69,28-65;40-69;42-65;33-69;30-61;35-62,42-65,3.77,95,7,766.0310518,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,72,42-65,44-61;48-57;50-61;48-61;35-66;45-63,35-66,5.03,91,-4,775.1127339,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,73,35-66,39-69;44-68;42-70;41-62;37-60;39-64,39-64,5.1,94,3,784.2899492,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,74,39-64,33-61;42-55;37-60;39-54;39-62;44-69,44-69,6.02,93,-1,794.3899825,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,75,44-69,45-63;38-62;39-66;51-62;44-65;48-61,44-65,3.57,95,2,802.0079252,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,76,44-65,45-68;52-59;36-69;48-60;38-64;48-68,36-69,4.06,89,-6,810.1539583,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,77,36-69,29-64;28-68;33-64;43-70;35-66;33-66,28-68,3.56,84,-5,817.7978371,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,78,28-68,26-66;25-63;34-68;23-70;32-66;27-69,34-68,2.46,89,5,824.3357365,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,79,34-68,27-70;33-66;30-62;29-64;37-62;41-69,41-69,2.61,92,3,831.0234685,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,0,0-0,4-2;8-1;5-5;7-0;1-3;4-7,Jul-00,4.78,14,13,944.5599832,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,1,Jul-00,15-4;5-2;8-7;4-4;9-3;0-7,4-Apr,4.82,16,2,953.4450554,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,2,4-Apr,12-10;4-3;9-12;12-4;7-2;4-14,12-Sep,3.32,38,22,960.8284737,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,3,12-Sep,6-9;17-9;11-3;14-15;16-14;7-15,15-Jul,2.18,39,1,967.085939,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,4,15-Jul,5-20;6-20;0-15;5-12;2-23;14-22,14-22,3.53,59,20,974.6782848,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,5,14-22,22-27;6-20;9-29;15-14;22-25;12-30,22-27,4.31,74,15,983.0434176,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,6,22-27,21-24;26-36;30-21;30-23;26-28;16-23,26-28,3,79,5,990.1175177,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,7,26-28,34-25;19-32;21-20;35-31;33-29;32-29,21-20,2.66,66,-13,996.8541256,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,8,21-20,15-27;13-24;25-21;21-25;21-23;26-24,25-21,3.38,71,5,1004.300714,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,9,25-21,20-14;23-27;33-15;16-23;34-18;28-16,34-18,4.48,75,4,1012.849007,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,10,34-18,39-22;34-28;37-13;43-21;42-17;35-11,43-21,2.22,83,8,1019.127077,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,11,43-21,38-22;46-29;38-21;43-29;45-30;44-13,45-30,2.05,92,9,1025.254264,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,12,45-30,51-32;39-28;45-39;45-38;43-30;45-25,45-39,5.9,98,6,1035.21899,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,13,45-39,50-41;52-39;37-42;45-49;48-45;47-48,45-49,1.17,100,2,1040.475945,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,14,45-49,41-42;47-47;38-52;40-56;42-48;48-56,40-56,1.13,98,-2,1045.68846,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,15,40-56,38-61;37-63;40-46;42-65;32-52;48-56,42-65,3.28,95,-3,1053.030831,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,16,42-65,45-65;46-60;51-66;50-59;43-61;52-65,51-66,1.68,95,0,1058.788303,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,17,51-66,51-59;47-65;48-61;52-60;47-64;45-62,52-60,3.62,98,3,1066.476016,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,18,52-60,50-53;60-60;54-55;52-70;45-54;52-53,52-70,1.58,92,-6,1072.125073,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,19,52-70,46-62;55-61;49-70;55-69;47-65;56-61,47-65,1.62,96,4,1077.836983,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,20,47-65,39-63;50-67;52-65;51-64;54-69;50-66,51-64,2.93,97,1,1084.848681,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,21,51-64,45-67;49-60;52-60;60-61;59-66;42-67,42-67,1.91,93,-4,1090.842443,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,22,42-67,45-60;50-62;42-67;47-64;45-63;34-61,34-61,4.84,93,0,1099.744211,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,23,34-61,34-54;33-67;28-58;32-58;36-68;36-62,36-68,2.58,90,-3,1106.394003,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,24,36-68,38-69;28-63;36-68;32-64;27-64;32-60,38-69,3.04,90,0,1113.501295,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,25,38-69,29-70;30-68;31-68;29-66;36-70;43-63,36-70,3.78,89,-1,1121.354187,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,26,36-70,40-64;37-68;39-69;39-67;36-63;41-63,39-67,3.13,92,3,1128.560346,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,27,39-67,45-66;42-63;47-70;43-67;41-64;34-70,43-67,3.08,94,2,1135.689081,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,2,SimpleHill,0-0,1,28,43-67,43-60;42-63;42-67;41-58;47-60;45-64,42-67,3.88,93,-1,1143.644045,1
